osc,initial_description,transition_description,finished_description
mincing_parsley,"Initial state: a fresh parsley bunch on a cutting board, bright green leaves with delicate, flat-leaf fronds; stems light green to pale, some longer and fibrous; the greens appear crisp and glossy from washing. The person is just starting: grasping the knife near the blade, one hand stabilizing the stems or gently gathering a pinch of leaves, positioning the herb for the first slicing motion.","In progress, the board shows mixed parsley bits: a spectrum from fine flecks to short, uneven shreds, with small leafy triangles and some pale-green stems. Sizes range roughly 1–5 mm; color bright to medium green; moisture makes pieces slightly glossy and the pile a little sticky. The texture is crumbly yet cohesive, not fully uniform. The person is performing a rocking knife chop, sweeping the blade through the pile, gathering and re-chopping as needed, pausing to re-center.","End state of minced parsley: a mound of uniformly tiny green flecks, about 1–3 mm pieces, no visible stems, leaves fully reduced to even bits. Color bright emerald to vibrant green, slightly moist and airy, with a soft, crumbly texture that holds its shape but breaks apart easily. The surface is fine and consistent; no long strands. Afterward, the person might scoop or sprinkle the minced parsley onto a dish or into a garnish bowl, and wipe the workspace."
mincing_beef,"Initial state: beef is cold and firm in red, irregular chunks about 0.5–2 cm, with white fat marbling and a slightly moist, glossy surface. The cutting board is clean, a sharp chef’s knife nearby; the person is likely aligning a piece and applying steady pressure with a grip, preparing to chop.","Mid-mince beef presents as irregular pieces: some coarse chunks about the size of dice, others fine granules and stringy shreds. Color is pink-red with white fat specks. The surface is moist and glossy; fibers appear loosened and separated rather than intact. Depending on tool, you may see continuous shreds or chunky pellets. The mass is loosely cohesive, not yet a uniform grind.","End state: finely ground beef with uniform small particles, loose to slightly cohesive texture. Color: pinkish-red to red with visible white fat flecks. Moist but not pooling; fat evenly dispersed. No large chunks, sinewy bits, or moisture separation. The meat looks ready for cooking or further processing. The person might be shaping into patties or meatballs, crumbling into a pan for sautéing, or mixing into a recipe."
mincing_meat,"Initial state: raw meat in large, irregular chunks/slabs before any mincing; cold, pink-red with visible fat, tight moisture, smooth surface, with intact fibers; firm to the touch. At the start, the person sits at a cutting board with meat laid out and a sharp knife poised, ready to cut; no mincing has occurred yet. They may reposition chunks in preparation.","Intermediate states during mincing show particle sizes vary, with some larger pieces and many smaller fragments. Meat is pink with white fat specks; surfaces are moist and glossy with juices. Strands of connective tissue may appear, giving a fibrous, slightly stringy texture. The mass clumps and sticks to the blade, leaving damp residues on the cutting surface. The person uses a rocking or push-pull chopping motion, guiding pieces toward the grinder or blade, maintaining even pressure.","Finely minced meat appears as small, uniform, grainy particles, usually less than 2–3 mm, soft, loose, and slightly clumped when pressed. Color ranges pale pink to reddish, depending on the meat; surface moist but not soggy. The person may transfer it to a bowl or pan, season, or form into patties, meatballs, or a filling."
mincing_scallion,"Initial state: fresh scallions, whole and uncut. Long, slender stalks about 1 cm in diameter, white bases to pale green tops; smooth, crisp, and moist. Outer skin clean, roots trimmed. On the cutting board, a knife is poised; a novice’s hands are steady, fingers tucked, left hand anchoring the stalk while the right hand holds the knife, ready to begin a light downward slice.","Mid-mincing, you see a mix of shapes: long green shreds breaking into small granules, tapered white stalks diced into uniform micro-pieces about 1–2 mm. Colors range from bright emerald green to pale white-green, with some darker tips still visible. The texture is damp, slightly fibrous, and sandy with tiny fragments sticking to the knife. The cutter is using a back-and-forth rocking motion, gathering and re-chopping the pile to reduce size, then regrouping into a smaller heap for continued mincing.","End state: Minced scallion consists of uniform, tiny pieces about 1–2 mm long, color white near the base and bright green toward the tips; texture is soft and slightly fluffy with a light, moist sheen; the pieces form a neat mound or are evenly distributed for immediate use. After finishing, the cook is likely transferring the mince to a bowl or pan, dusting it over a dish, or folding it into a sauce or batter."
mincing_pepper,"Initial state: a whole bell pepper on a cutting board, intact stem, uncut. Shape is cuboid-ish with rounded edges; size roughly 2–3 inches tall; skin glossy, firm; color green, red, orange, or yellow. Interior not exposed; seeds enclosed. In this starting moment, the person stabilizes the pepper with one hand and positions a knife at the crown, preparing to trim or begin mincing.","Mid-mince, the cutting board shows a mix of shapes: small irregular pieces and larger shards, 1–5 mm, with glistening moisture and scattered seeds. Colors reflect the pepper color (red, green, yellow). Surfaces are glossy, slightly sticky from juice; knife edges show fresh cuts. The person repeatedly chops, gathers pieces toward the blade, and re-chops in cycles, producing a gradually finer, uneven mince with varying particle sizes.","End state: Finely minced pepper appears as tiny, uniform pieces about 1–2 mm with smooth edges; seeds and membranes largely removed; colors reflect the pepper variety (red/green/yellow/orange); pieces are moist and glistening, evenly dispersed.

Post-mincing, the person might transfer the minced pepper to a bowl or pan, or begin sautéing or folding it into a dish."
mincing_tomato,"Initial state: a single ripe tomato on a cutting board, intact and uncut. Round to slightly oblong, roughly 4 cm across, glossy red skin with a green stem remnant. It may be freshly washed and moist. The person is just starting: one hand steadies the tomato on the board, the other grips a knife, blade above or at the stem end, prepared to make the first cut.","Mid-mince visuals show red flesh torn into varying sizes from fine grains to chunky fragments, with a glossy, moist surface and visible seeds and membranes. Juices bead on cut edges; color remains bright red with pink speckles where pieces mix. Some pieces cling and smear, creating a soft, semi-pasty texture. The person is chopping and guiding pieces with a knife (or pulsing a blade), applying downward pressure and gathering chunks for further mincing.","End state: finely minced tomato composed of tiny, uniform or slightly irregular granules, generally under 2 to 3 mm, bright red to pink, moist and soft with seeds lightly dispersed. Texture ranges from smooth pulp to delicate grain. The cook is likely transferring the minced tomato to a bowl or pan, then folding it into a sauce or simmering it with other ingredients for cooking."
mincing_carrot,"Initial state: a whole carrot, uncut and intact, roughly 6–8 inches long, tapered orange cylinder about 1–2 cm in diameter, with a smooth, glossy skin and fine longitudinal ridges; soil flakes near the base; top may have been trimmed and leaf stalks removed. On a cutting board, a chef’s knife ready at the edge; one hand securing the carrot near the base, fingers curled to protect them, the other hand poised to begin the first cut.","On the cutting board, minced carrot in progress appears as a heterogeneous mixture: some long, thin shreds and some coarser pieces; sizes range from fine granules to pea-sized cubes. Color is vivid orange with lighter inner cores exposed; surfaces are glossy, crisp, and fibrous; edges are clean where freshly cut or jagged where torn. The cook holds the knife with a firm grip, uses a rocking or straight-down chopping motion, gathers pieces, and guides more carrot toward the blade.","End state: finely minced carrot—tiny, irregular fragments about 1–2 mm; uniform in size, bright orange; texture is fine and easy to mash; bits form a loose pile or are evenly distributed. The person finished might be about to sauté in oil, fold into a batter or filling, or mix into a salad."
shredding_chicken,"Initial state: A cooked chicken breast segment rests on a cutting board, intact and solid. Its shape is roughly rectangular/oval, about 3–4 inches long and 2 inches wide, weighing 4–6 oz. Color is opaque white with a light tan exterior; surface is moist and slightly glossy. Texture is firm but fibrous. The person is beginning to shred by gripping with forks (or fingers) and applying gentle pulling pressure to start separating along the grain.","Intermediate shredding shows a mix of long, thin strands and shorter, irregular shreds, with frayed edges and occasional small chunks. Colors are pale white to light tan; surfaces are fibrous and moist, fibers separating along loose muscle fibers. Texture ranges from silky to stringy, with variable moisture pockets and occasional clumps when wet. The person is pulling apart cooked meat with forks or hands, or using a mixer or processor to break fibers as shredding continues.","End state: uniformly fine to medium shreds of cooked chicken, slender ribbons and small fibers, 1–8 mm thick and 2–5 cm long, in pale white to light tan. Moist, pliable, fibrous texture with visible muscle strands; no large chunks or bones; loose, slightly clumped when wet, easily pull-apart. Post-shredding actions: portioning into bowls or containers, mixing with sauces or seasonings, refrigerating or packing for tacos, salads, or soups."
shredding_cheese,"Initial state: a solid block or wedge of cheese sits on a board or in wrap. Shape is rectangular or triangular with flat faces; size about 2–4 inches long and 1–2 inches tall. Color matches the variety (pale yellow, orange, or white). Consistency is firm or semi-hard and dry, with a smooth surface. The person preparing to shred unwraps or lifts the block, grips it, and aligns it with the grater, ready to begin.","During shredding, cheese breaks into slender ribbons and irregular flakes, 0.5–3 mm wide, varying lengths, often curled or jagged. Textures range from soft and tacky to light and airy, with slight crispness; color remains pale yellow to ivory with a subtle moisture gloss. Pieces may clump then loosen into loose shreds. The person holds a grater or blade, applies steady pressure, and guides the cheese with short, controlled motions, occasionally rotating the block for even shredding.","End state: a loose mound of shredded cheese in thin ribbons or flakes, typically 1–3 mm wide, with lengths varying. Texture is light and fluffy, melt-ready, often with a slight sheen from fat. Colors range from white to pale yellow to orange, matching the cheese. Shreds are mostly separate, not clumped. The person finished shredding might be sprinkling it onto pasta, topping a casserole, or transferring it to a serving bowl."
shredding_cabbage,"Initial state: a firm, compact cabbage head, roughly spherical to slightly oval, 3–6 inches across, outer leaves dark green and crinkled, inner leaves pale green to white, crisp and moist core visible at the bottom. Just starting shredding: a person places the head on a cutting board, peels off a few loose outer leaves and trims the core, with a knife nearby, preparing to halve or quarter for shredding.","In progress, shredded cabbage forms pale green to white ribbons and wisps, varying from fine slivers to slender strands. Pieces are crisp yet flexible, with a light sheen from released moisture and jagged, frayed edges. Some curls or irregular fragments scatter on the board, while longer shreds collect in small piles. The color remains brighter near the core and darker toward outer leaves. The person feeds, slices, or grates cabbage, guiding it with steady motions and even pressure.","End state: shredded cabbage appears as loose, uniform ribbons or fine shreds, about 1–3 mm wide and a few centimeters long. Color is pale green to white (green cabbage) or vivid purple (red cabbage). Texture is crisp, moist, and glossy, with small, even strands ready to use. After shredding, the person may collect and transfer the shreds to a bowl or bag, ready for salad, slaw, or seasoning."
shredding_carrot,"Initial state: a single carrot, whole and unshredded, washed and trimmed ends, bright orange skin intact, smooth cylindrical shape with slight taper, about 15–20 cm long, firm, crisp, and glossy. The cutting board or workspace is ready, with a manual grater nearby. The person’s hands grip the carrot at one end or set it on the board, preparing to start grating by aligning the carrot for the first pass, without any grated material yet.","In-progress shredding yields a mix of slender orange shreds and irregular bits. Long ribbons curl and fray, while shorter slivers cluster into piles. Surface color is vivid orange with pale inner flesh exposed; edges are fine, fibrous, sometimes torn. Shreds are damp from juice, sometimes glossy. The person grates by pressing carrot against a shredding surface, sliding it downward and back and forth, guiding the strands into a bowl or pile.","End state of shredded carrot: uniform julienne shreds about 1–2 mm thick, several cm long, bright orange with pale interior visible; crisp, light, slightly glossy, with consistent texture; loosely piled on a cutting board or in a bowl; few stray fragments; moisture minimal but perceptible. The person who finished shredding might be transferring the shreds to a bowl or plate to dress, mix with other ingredients, or prep for cooking."
shredding_potato,"Initial state: a single potato with smooth brown skin, oval shape about 2–3 inches long, firm and dense, with a few dim, shallow eyes. Flesh white and uncut inside; clean but possibly speckled with soil. As shredding begins, the person places the potato on a box grater or feeder blade, steadies it with one hand, and starts pushing it toward the blades, with light downward pressure to begin shredding.","Intermediate state shows pale-white to light-yellow shreds of varying thickness and length, some long ribbons, others short slivers. Many are damp and translucent, with visible moisture. Shreds cling to the grater and to each other, forming clumps and loose heaps; there are also untidy patches of larger chunks. The person actively drags the potato across the blade, applies pressure, and guides the loose shreds into the growing pile.","End state: a loose pile of shredded potatoes in thin, uniform strands (about 1–2 mm wide, several cm long), pale white to light yellow, with a light, moisture-laden sheen. No browning. Texture is soft, flexible, and stringy; strands separate easily when touched. The person finishing may transfer the shreds to a bowl, rinse/dry them, and prep for cooking—seasoning, patting dry, or forming into hash-brown patties or fritters."
shredding_zucchini,"Initial state: a fresh zucchini, whole and unshredded, about 6–8 inches long, slender cylindrical shape with dark-to-medium green skin and pale, crisp interior. Skin smooth and glossy; surface firm to the touch. At the very start of shredding, it’s prepared on the work surface: ends trimmed and washed, possibly lightly peeled. A person stands at the counter, one hand securing the zucchini while the other approaches a box grater, beginning to position it for grating.","In-progress shredding shows a stream of green ribbons and fine fibers accumulating in a bowl. Strips vary in thickness, from slender 1–2 mm shreds to broader 3–5 mm pieces; some curl, others lie flat. Surfaces are moist and glossy, with pale interior peeking through. Shreds cling to the grater and to each other as moisture releases. The person moves the zucchini along a grater, applying pressure, guiding pieces and rotating to expose fresh surfaces and keep shreds forming.","End state: finely shredded zucchini in a mound or bowl; pale green ribbons or thin strands about 2–4 mm wide, color pale with green flecks, strands separated, not clumped; moisture present, texture light and fluffy. The person finished shredding might be draining or squeezing out water, then transferring the shreds to a bowl, pan, or plate, ready for cooking or mixing."
shredding_beef,"Initial state: a cooked beef roast or chunk resting on a cutting board. Shape is irregular and blocky, roughly 2–3 inches thick in places, weighing 1–2+ pounds. Exterior browned crust; interior warm-to-pink, juicy, with visible muscle fibers. Color ranges from dark brown on the crust to lighter brown inside. Consistency is tender but still cohesive, with juices present. The novice may grip with forks or tongs and begin to pull apart or separate the piece along the grain.","In-progress shredded beef appears as a loose, fibrous mass of mixed strand sizes—from thin threads to wider shreds—coated with juices or sauce. Colors span browned exterior to lighter interior, with a moist, glistening surface. The texture is stringy yet tender, fibers separating readily under gentle pulling; occasional chunky bits of fat or connective tissue remain. The preparer uses forks or meat claws to tug and separate fibers, turning and restacking to increase surface area.","End state of shredding beef: a mass of long, irregular strands and shreds, about 2–4 mm thick and varying lengths, with a fibrous, flaky texture; color ranges from light brown to deep brown, with a moist, glossy surface from rendered fat and juices; pieces separate readily yet can clump when sauced. The person finishing shredding might be portioning into bowls, packing for storage, or folding into tacos, sandwiches, or other dishes."
shredding_pork,"Initial state: a cooked pork shoulder awaiting shredding. Shape is large and irregular, chunks still held together, weighing a few pounds and about 6 to 12 inches long. Exterior shows a dark brown, caramelized bark; interior is pale pink to tan, moist and fibrous but intact. Texture is tender yet firm. The person starting shredding may use two forks or gloved hands, applying gentle pulling to break fibers along the grain and tease apart chunks.","During shredding, pork appears as long, fibrous strands beginning to separate. Shreds vary from thin threads to wider ribbons, curling and tangling as they pull apart. Surfaces are moist and slightly oily, with visible fat marbling and crisp edges from exposed fibers. Colors range from pinkish-brown to tan, indicating cooked tissue. The cook uses forks, claws, or a paddle to tug, tear, and lift strands, then folds them to balance texture before sauce is added.","End state: shredded pork appears as irregular long strands, variable lengths (roughly 0.5–5 cm) and widths (2–6 mm), forming a loose, pull-apart mass. Color ranges from light tan to deep brown with occasional pink smoke ring; surface is moist and glossy, showing visible juices. Texture is tender, fibrous, and easily separable, not chunky. Finished action: the cook portions, sauces or mixes, bags or stacks onto buns or plates for serving."
shredding_meat,"Initial state: cooked meat in large chunks ready to be shredded. Each piece about 1–3 inches, irregular edges from cutting. Exterior browned or caramelized; interior light tan to pink depending on doneness. Surface moist and glistening; visible muscle fibers and tender texture, with light fat marbling. The meat is hot and pliable. A beginner will typically use two forks to grip a chunk and begin pulling it apart along the grain at the start of shredding.","In-progress shredding presents irregular, fibrous strands and torn chunks at various thicknesses. Colors span light to deep brown with caramelized edges; some pinkish interior fibers may remain. Surfaces are moist and glossy, with rendered juices and fat marbling evident. Strands appear long and stringy or in matted clumps as fibers separate. The worker pulls and teases with forks or claws, occasionally tearing and recombining pieces or mixing with sauce to keep strands loose and accessible.","End state: Shredded meat appears as a loose tumble of long, fibrous strands, irregular in width, typically 0.5–2 cm wide strips, 1–3 cm long, sometimes shorter. Color ranges from light tan to deep brown, with a glossy, moist surface; texture is soft, tender, and pull-apart, with visible moisture and slight caramelization at edges. The person finished shredding may be plating, portioning for sandwiches or tacos, mixing with sauce, or packaging for serving."
shredding_lettuce,"Initial state: a whole lettuce head on a cutting board, intact, round-to-oval with crisp bright-green outer leaves and a firm white core. Leaves are glossy and dry to the touch, compact. Size about six inches across. The person is just starting: hands poised, a knife near the core, planning to trim the core or remove outer leaves, stabilizing the head and preparing to rinse.","In progress shredding shows a mix of loose elongated shreds and irregular chunks. Shreds are thin ribbons and narrow strips, some curled, others flat, lengths from a few millimeters to several centimeters. Color varies from pale green to deep emerald with exposed white ribs. Texture ranges from crisp, dry edges to moist, torn surfaces, with fragments clinging. The pile is airy yet uneven, as the handler slides a knife or shredder blade in a back‑and‑forth motion toward a bowl.","End state: loose pile of lettuce shreds—thin ribbons and slivers about 1–3 mm wide, roughly 0.5–3 cm long. Colors range bright green to pale yellow-green; crisp, moist, and light with a delicate, fluffy texture. No large chunks; few stems or cores. The shreds separate easily and form a fluffy, airy heap or spread. After shredding, the person moves to a bowl or plate and adds dressing, tosses, or serves."
shredding_coconut,"Initial state: a whole coconut with its rough brown husk intact, oval and about 4–5 inches long, heavy and hard, surface textured with fibrous strands. No shredded material yet. The person starting may cradle the coconut, hold a knife or cleaver, and position it to pierce or crack the husk, preparing to remove the outer layer to expose the shell.","Intermediate shredded coconut appears as a mix of thin ribbons, fine shreds, and irregular curls. Colors range white to ivory with translucent edges; surfaces are slightly damp, fibrous, and flaky. Shreds vary in thickness and length, some clumping into loose piles. On the board or in a bowl, continuous strands are produced by steady pressure and smooth, back-and-forth motions across the grater or blade, rotating and guiding the meat to escape in small pieces.","End state: shredded coconut appears as irregular white-to-ivory flakes or curls, ribbons or granules, typically a few millimeters in size; moist and pliable if fresh, or dry and crumbly if desiccated; color ranges from pure white to off-white, sometimes slightly translucent in very fresh shreds; texture ranges from soft-chewy to crisp, with visible fibrous strands. The person finished shredding might be toasting the shreds in a pan, sprinkling over a dish, or transferring to a container."
shredding_mozzarella,"Initial state: a block or ball of fresh mozzarella, cool to the touch, white to pale ivory, surface moist and smooth. Texture is firm yet yielding, slightly elastic, with a soft, springy bite. The cheese sits in its packaging or brine, often rectangular or round. A beginner might unwrap the package, pat it dry, place it on a cutting board, and prepare a grater or knife, readying to cut into chunks for shredding.","During shredding, in-progress mozzarella appears as mixed fine and medium shreds: slender fibers about 1–3 mm thick, curly ribbons, and damp clumps. Color white to pale ivory; surfaces glossy from moisture. Edges torn, not uniform; lengths vary. Textures range from pliable, springy strands to crumbly bits. The person guides the cheese block toward the grater, applies steady pressure, and feeds chunks while catching the emerging shreds.","End state: loose, pale white to ivory mozzarella shreds—uniform thin strands about 2–4 mm wide and 5–20 mm long. Light, fluffy, and slightly moist, with a shiny surface; pieces are usually separate rather than clumped and may show mild elasticity. In use, the person finished shredding might sprinkle or top a dish (pizza, pasta, casseroles) or portion the shreds into a bowl for later assembly."
shredding_parmesan,"Initial state: Parmigiano-Reggiano wedge, hard and dense, with pale ivory-yellow color and a matte surface; rind on one face. Blocky shape, about 4–6 cm wide and 2–3 cm thick; surface dry, slightly crumbly under pressure. No shavings present yet. The person begins by gripping the wedge and positioning it against a metal grater, stabilizing with one hand and starting to press down to engage the grater.","In progress shredding yields irregular thin shreds and ribbons, flake-like fragments, and occasional curls. Sizes vary from fine snow-like grains to longer 1–4 cm strips, about 1–2 mm thick. Color ranges ivory to pale yellow with a dry, matte surface and tiny crevices; the mass is light and airy, with damp-looking clumps where moisture concentrates. The person is rubbing the cheese against a grater, applying pressure, and guiding the cheese downward into a bowl or pile, turning as needed.","End state: shredded parmesan consists of pale yellow to ivory irregular flakes or thin ribbons, dry and light, with a crisp, crumbly texture. Flakes vary in size, typically a few millimeters to a couple centimeters long and 1–5 mm thick; color ranges from ivory to pale gold. The person finished shredding is likely sprinkling it over pasta, finishing a dish, or transferring the shreds to a bowl or container for storage."
shredding_onion,"Initial state: a whole onion, round to slightly flattened, about 5–7 cm; tight papery brown skin over pale interior; firm, crisp texture with a dry outer layer. At start, the person peels away the outer skin, trims the root and top, places the onion on a cutting board, and grips a chef’s knife to begin a first cut or halve the bulb to prepare for shredding.","During shredding in progress, the onion presents as slender, translucent ribbons and fine shreds, 1–3 mm wide, with varied lengths. Pieces are pale white to pale yellow, glistening with moisture, and curl or bend with slight flex. Edges are ragged, fibrous, and flaky, giving a wispy texture and occasional moisture droplets. The person is likely moving a blade or grater across the onion, applying downward pressure, feeding successive layers into the tool.","End state: Uniform, thin onion shreds about 1–2 mm wide and 3–5 cm long, white to pale yellow, translucent and slightly glossy. They form a loose, moist, flaky pile with crisp, pliable texture and a mild onion aroma. After shredding, the person might sauté them, fold them into a dish, or transfer the shreds to a bowl or container for cooking or storage."
grating_cheese,"Initial state: a firm cheese block or wedge with smooth rind, pale yellow-orange color; compact, dense, slightly waxy texture; shape roughly rectangular, about several centimeters across; surface dry and clean with a visible cut face. What the starter may be doing: stabilizing the block with one hand, positioning the grater against the cheese, and preparing to apply light pressure to start grating.","Mid-grating, cheese breaks into loose, irregular shreds of varying thickness—fine ribbons, longer curls, and powdery bits. Colors range from ivory to pale yellow with a glossy, damp sheen. Shreds cling to the grater and form a small pile on the work surface; some float away as they’re produced. The grater’s holes are exposed. The person holds the cheese and moves it back and forth, pressing and rotating to reveal new surfaces.","End state: a loose mound of grated cheese, made of fine shreds or flakes. Pieces range from thin ribbons to granules, typically a few millimeters or less. Color varies with cheese—ivory to pale yellow or orange. Texture is dry to slightly clumpy, light and fluffy, sometimes powdery when very fine. The person finished with grating may be sprinkling it on pasta, stirring it into a sauce, or transferring the pile to a container."
grating_ginger,"Initial state: a fresh knob of ginger with rough brown skin, irregular, knobby shape. The flesh inside is pale yellow and fibrous; the root feels firm and dry to the touch. A clean grater sits nearby. The person is just starting, holding the ginger and possibly washing or peeling it, then positioning the knob at the grater to begin contact.","During grating, pale yellow-orange shreds accumulate on the grater, in a mix of fine granules and stringy ribbons. Strands are irregular, 1–5 mm wide, a few millimeters long, with moist, fibrous texture and occasional tiny moisture drops. The mass clings to the surface and forms a soft mound near the blade. The grating hand draws the ginger across edges with a steady downward/diagonal stroke, occasionally rotating the piece for exposure.","End state: a mound of finely grated ginger—orange-yellow to pale gold—composed of moist, fibrous shreds and pulp. Strands are irregular, hair-like to thread-like, typically a few tenths of a millimeter wide with a juicy, paste-like consistency. Surface is glossy, with droplets of ginger juice. The grating may cling to the bowl; the user usually transfers the grated ginger to a dish or pan, then wipes the grater or continues cooking."
grating_potato,"Starting state: a whole potato, oval to round, fist-sized, with brown-tan skin and a few eyes; firm pale yellow flesh beneath. Skin intact or lightly scrubbed, no shredding yet. The person is about to begin—holding the potato in one hand beside a grater, ready to press or rub it against the grater, often after a rinse.","As grating continues, the potato shows pale, creamy shreds curling off the grater in thin ribbons and occasional finer wisps. The exposed flesh is moist and slightly translucent, with pale starch streaks and tiny specks of skin. Shreds vary in length from a few millimeters to several centimeters and cluster into damp heaps, some clinging to the grater. The person grates with firm, even strokes, guiding shreds into a bowl and scraping as needed.","End state: shredded potato in uniform fine strands or small flakes forming a loose pale white–yellow pile; moist but not mushy; no large chunks; strands about 1–3 mm wide (grater dependent). The person finished may transfer the shreds to a bowl or prep surface, squeeze out excess moisture, season, and/or pat dry in preparation for cooking (e.g., hash browns or rösti)."
grating_carrot,"Initial state: a whole carrot, bright orange with smooth skin, firm and crisp, about 15–20 cm long and 2–3 cm in diameter, tapered at one end; leaves trimmed. The carrot is ungrated. The person is starting by placing the carrot on a board and aligning it with the grater, one hand steadying the carrot and the other guiding the grater toward its end.","During grating, carrot shreds accumulate on the work surface: fine to medium strands, orange with pale cores, damp and glossy in places, drier and fluffy in others. Strands are fibrous with jagged, serrated edges and slight curling. Shreds vary in length and may clump. The grater teeth rasp the carrot as the person guides it with one hand while applying downward or back-and-forth pressure with the other, keeping the carrot steady.","End state: a mound of bright orange carrot shreds—fine to medium strands—with uniform color, soft fluffy texture, and slight moisture. Shreds are a few millimeters wide and several centimeters long, loosely arranged in a pile or bowl. The person finished grating might be transferring the shreds to a salad or recipe, mixing them in, or wiping the grater clean and putting it away."
grating_garlic,"Initial state: a single garlic clove with its dry papery skin intact; off-white to pale tan, smooth, firm, about 1–1.5 cm long, teardrop-shaped. A clean, dry grater sits ready. The person is just starting: gripping the clove, peeling away the skin, and aligning the clove at the grater’s edge to begin motion.","Mid-grating, garlic forms a heterogeneous mix on the grater: curled shreds, irregular granules, and an emerging paste. Colors range ivory to pale yellow; surfaces are damp and glossy from released oils. The pile on the grater is uneven, with clinging threads and moist particles. The grater's teeth break the clove down as the dominant hand rubs or drags the clove across in short strokes, while the other hand steadies the tool. Aroma sharp and pungent fills the scene.","End state: A small heap of freshly grated garlic. Fine to granular, slightly moist, and clumpable; pale yellow-white shreds with glossy sheen and tiny flecks. Texture ranges from powdery granules to short strands. Aroma is pungent and nutty. The grater may be scraped clean or the garlic transferred to a pan, sauce, or bowl for immediate cooking."
grating_nutmeg,"Initial state: a whole nutmeg seed—oval, about 2–3 cm long, 1.5–2 cm wide; hard, dark brown shell with a mottled, slightly rough surface. The kernel inside is dense; overall color brown with a matte finish. Just starting to grate: the person grips the whole nutmeg, places it against a microplane or box grater, and applies gentle downward pressure while twisting or rotating to initiate friction. They may hold the nutmeg with the other hand to stabilize.","In progress, the mass is a moving mix of fine brown powder and thin curls. Nutmeg shavings vary from micro-particles to 2–3 mm fragments, with colors ranging from pale tan to chocolate brown. Texture is dry but slightly fuzzy, grains blending into wispy filaments. The grating motion is ongoing: the person drags the nutmeg across a microplane/box grater, applying steady pressure and collecting the shavings on a plate or bowl.","End state: Grated nutmeg is a dry, fluffy mix of fine powder and tiny shavings, warm light to medium brown. Particles range from fine dust to microgranules; texture is powdery with a lightly fibrous feel, not wet or clumped when dry. After grating, the person is likely sprinkling or measuring a pinch into a dish, sauce, or beverage, or wiping the grater and preparing to add it to the recipe."
grating_orange,"Initial state: A single, whole orange (6–8 cm) with bright orange, slightly pitted skin, intact peel, and a small stem scar; unpeeled and ungrated, resting on a cutting board. A metal grater sits nearby. The person is about to begin: one hand steadies the orange while the other aligns it against the grater, ready to rub and release zest.","Intermediate state shows bright orange zest shreds, thin ribbons, and fine zest dust accumulating on the grater and counter. Zest pieces vary from delicate curls to micro-granules, typically 0.2–2 mm wide, with occasional longer strips. Juicy orange membrane is exposed in areas, and a light film of citrus oil glistens. The grater surface bears bright particles and some white pith. The person applies steady, downward or side-to-side strokes, rotating the fruit and guiding grains into a pile.","End state: A heap of bright orange zest—the fine, ribbon-like shreds and delicate curls scraped from the peel. Size: micro shreds roughly 0.5–2 mm wide; shape varies from curly ribbons to tiny flakes. Color: vivid orange with hints of white pith; texture: slightly oily, fragrant, crumbly, and delicate, with visible oil beads. The zest clings to fingers from essential oils. The person finished might garnish a dish, whisk zest into batter, or tidy the grater."
grating_zucchini,"Initial state: a fresh, whole zucchini about six to eight inches long, cylindrical with smooth dark-green skin and pale flesh. Ends intact; firm, crisp to touch. On a cutting board, a person holds the zucchini lengthwise near one end while the other hand sits near a handheld grater, prepared to start grating, fingers away from the blades.","During grating, the zucchini produces mixed shreds: fine to medium strands, some ribbon-like slivers, and a few small pellets. The exposed flesh is pale green to white with bright green rind edges. Strands are damp and slightly glossy, curling as they accumulate. The grater’s ridged surface is visible; the hands grip the handle and guide the vegetable with a steady downward push, rotating the zucchini as needed to feed the blade.","End state: shredded zucchini—thin pale-green to white strands and small granules—moist, fibrous, and soft with irregular lengths; forms a loose pile. The grating is finished; the person may transfer the shreds to a bowl, squeeze out excess moisture, and proceed to cooking or mixing (e.g., into batter or sautéing), then rinse and clean the grater."
grating_cucumber,"Initial state: a fresh cucumber, whole and unpeeled, about 6–8 inches long and 1–1.5 inches in diameter; firm, crisp, cool, with glossy dark-green skin and lighter mottling. It sits on the counter, one end trimmed to create a flat surface, ready to be pressed against the grater. The person stands facing the counter, grips the cucumber with one hand and steadies it with the other, aligning it at the grating edge to begin.","Intermediate state: a mound of freshly grated cucumber appears, with thin, ribbon-like strands and occasional thicker julienne fragments. Shreds range from pale to vivid green, with translucent, juicy surfaces and visible seeds in the core. The mass feels slippery and moist, with cucumber juice staining nearby surfaces. The grating action involves a dominant hand rasping back-and-forth, guiding the cucumber with the other hand, rotating the vegetable to expose new skin and prevent clogging.","End state: A mound of uniformly shredded cucumber in long, thin strands (julienne-like) or finely grated shreds, pale green with the dark rind removed; moist, cool to touch, with visible moisture glistening. The texture is soft yet crisp. The person finished with grating might be transferring the cucumber to a bowl or colander, patting or squeezing excess moisture, then mixing with seasoning or ingredients for salad, tzatziki, or relish."
